image_index,category,img_url,year,decade,num_persons,gender,age,body display
2284,politics,https://api.time.com/wp-content/uploads/2014/11/1550320.jpg,1929,1920s,1,male,Young Adult,portrait
2286,politics,https://api.time.com/wp-content/uploads/2014/11/1550407-e1415651299188.jpg,1931,1930s,1,female,Young Adult,waist-up
2287,politics,https://api.time.com/wp-content/uploads/2014/11/1550422.jpg,1931,1930s,1,female,Young Adult,waist-up
2288,politics,https://api.time.com/wp-content/uploads/2014/11/1550427.jpg,1931,1930s,1,male,Senior,portrait
2289,politics,https://api.time.com/wp-content/uploads/2014/11/1550473.jpg,1932,1930s,1,female,Young Adult,portrait
2290,politics,https://api.time.com/wp-content/uploads/2014/11/1550477.jpg,1932,1930s,1,male,Senior,portrait
2291,politics,https://api.time.com/wp-content/uploads/2014/11/1550518.jpg,1933,1930s,1,male,Senior,portrait
2292,politics,https://api.time.com/wp-content/uploads/2014/11/1550529-e1426779419847.jpg,1933,1930s,1,male,Young Adult,portrait
2293,politics,https://api.time.com/wp-content/uploads/2014/11/1550539.jpg,1933,1930s,1,male,Young Adult,portrait
2294,politics,https://api.time.com/wp-content/uploads/2014/11/1550557.jpg,1934,1930s,1,male,Young Adult,waist-up
2295,politics,https://api.time.com/wp-content/uploads/2014/11/1550567.jpg,1934,1930s,1,male,Middle-Aged,waist-up
2296,politics,https://api.time.com/wp-content/uploads/2014/11/1550592.jpg,1934,1930s,1,male,Middle-Aged,portrait
2297,politics,https://api.time.com/wp-content/uploads/2014/11/1550595.jpg,1934,1930s,1,male,Young Adult,waist-up
2298,politics,https://api.time.com/wp-content/uploads/2014/11/1550632.jpg,1935,1930s,1,male,Young Adult,portrait
2299,politics,https://api.time.com/wp-content/uploads/2014/11/1550718.jpg,1937,1930s,1,male,Young Adult,portrait
2301,politics,https://api.time.com/wp-content/uploads/2014/11/1550766.jpg,1938,1930s,1,male,Young Adult,waist-up
2302,politics,https://api.time.com/wp-content/uploads/2014/11/1550767.jpg,1938,1930s,1,male,Middle-Aged,portrait
2303,politics,https://api.time.com/wp-content/uploads/2014/11/1550789-e1531866249912.jpg,1938,1930s,1,male,Young Adult,portrait
2304,politics,https://api.time.com/wp-content/uploads/2014/11/1550869-e1455221688313.jpg,1940,1940s,1,male,Young Adult,portrait
2305,politics,https://api.time.com/wp-content/uploads/2014/11/1550922-e1430944666535.jpg,1941,1940s,1,male,Young Adult,portrait
2306,politics,https://api.time.com/wp-content/uploads/2014/11/1550933.jpg,1941,1940s,1,male,Young Adult,portrait
2307,politics,https://api.time.com/wp-content/uploads/2014/11/15501177.jpg,1946,1940s,1,male,Middle-Aged,portrait
2308,politics,https://api.time.com/wp-content/uploads/2014/11/15501188.jpg,1946,1940s,1,male,Young Adult,portrait
2309,politics,https://api.time.com/wp-content/uploads/2014/11/15501220-e1424205535957.jpg,1946,1940s,1,female,Young Adult,portrait
2310,politics,https://api.time.com/wp-content/uploads/2014/11/15501230.jpg,1947,1940s,1,male,Middle-Aged,portrait
2311,politics,https://api.time.com/wp-content/uploads/2014/11/15501275.jpg,1948,1940s,1,male,Senior,portrait
2312,politics,https://api.time.com/wp-content/uploads/2014/11/15501340.jpg,1949,1940s,1,male,Middle-Aged,portrait
2313,politics,https://api.time.com/wp-content/uploads/2014/11/15501371-e1416332543397.jpg,1949,1940s,1,male,Senior,portrait
2314,politics,https://api.time.com/wp-content/uploads/2014/11/15501400.jpg,1950,1950s,1,male,Senior,portrait
2315,politics,https://api.time.com/wp-content/uploads/2014/11/15501439.jpg,1951,1950s,1,male,Middle-Aged,portrait
2316,politics,https://api.time.com/wp-content/uploads/2014/11/15501490.jpg,1952,1950s,1,male,Middle-Aged,portrait
2317,politics,https://api.time.com/wp-content/uploads/2014/11/15501535.jpg,1953,1950s,1,male,Senior,portrait
2318,politics,https://api.time.com/wp-content/uploads/2014/11/15501578-e1425507190946.jpg,1953,1950s,1,male,Middle-Aged,portrait
2319,politics,https://api.time.com/wp-content/uploads/2014/11/15501592.jpg,1954,1950s,1,male,Middle-Aged,portrait
2321,politics,https://api.time.com/wp-content/uploads/2014/11/15501655-e1426779422633.jpg,1955,1950s,1,male,Senior,portrait
2322,politics,https://api.time.com/wp-content/uploads/2014/11/15501672-e1505767794611.jpg,1955,1950s,1,male,Young Adult,portrait
2323,politics,https://api.time.com/wp-content/uploads/2014/11/15501690.jpg,1956,1950s,1,male,Young Adult,face
2325,politics,https://api.time.com/wp-content/uploads/2014/11/15501752.jpg,1957,1950s,1,male,Senior,face
2326,politics,https://api.time.com/wp-content/uploads/2014/11/15501757.jpg,1957,1950s,1,male,Senior,face
2328,politics,https://api.time.com/wp-content/uploads/2014/11/15501776-e1474572120252.jpg,1957,1950s,1,male,Middle-Aged,portrait
2329,politics,https://api.time.com/wp-content/uploads/2014/11/15501800.jpg,1958,1950s,1,male,Middle-Aged,portrait
2333,politics,https://api.time.com/wp-content/uploads/2014/11/15501875.jpg,1959,1950s,1,male,Young Adult,portrait
2334,politics,https://api.time.com/wp-content/uploads/2014/11/15501904.jpg,1960,1960s,1,male,Young Adult,portrait
2335,politics,https://api.time.com/wp-content/uploads/2014/11/15501934-e1426779416296.jpg,1960,1960s,1,male,Middle-Aged,face
2336,politics,https://api.time.com/wp-content/uploads/2014/11/15501954.jpg,1961,1960s,1,male,Senior,portrait
2337,politics,https://api.time.com/wp-content/uploads/2014/11/15501967.jpg,1961,1960s,1,male,Young Adult,portrait
